Country,IOC,Flag,1/25/1924,2/11/1928,2/4/1932,2/6/1936,1/30/1948,2/14/1952,1/26/1956,2/18/1960,1/29/1964,2/6/1968,2/3/1972,2/4/1976,2/13/1980,2/8/1984,2/13/1988,2/8/1992,2/12/1994,2/7/1998,2/8/2002,2/10/2006,2/12/2010,TOTAL
Australia,AUS,,,,,,,,,,,,,,,,,,5,1,2,2,3,13
Austria,AUT,Austria-S.jpg,5,8,2,6,8,8,13,6,20,17,5,8,9,1,13,32,13,21,21,33,30,279
Belarus,BLR,,,,,,,,,,,,,,,,,,2,2,1,1,3,9
Belgium,BEL,Belgium-Nl.jpg,6,1,,,8,,,,,,,,,,,,,1,,,,16
Bulgaria,BUL,Bulgaria.jpg,,,,,,,,,,,,,1,,,,,1,3,1,,6
Canada,CAN,,10,13,21,14,22,18,22,23,9,21,1,3,2,4,7,41,43,55,82,77,102,590
Croatia,CRO,Croatia-S.jpg,,,,,,,,,,,,,,,,,,,4,3,3,10
Czech Republic,CZE,Czech Republic.jpg,,,,,,,,,,,,,,,,,,25,3,29,10,67
Czechoslovakia,TCH,,,1,,,18,,,1,18,22,21,19,1,30,7,30,,,,,,168
Democratic People's Republic of Korea,PRK,,,,,,,,,,1,,,,,,,1,,,,,,2
Denmark,DEN,Denmark-S.jpg,,,,,,,,,,,,,,,,,,6,,,,6
Estonia,EST,Estonia.jpg,,,,,,,,,,,,,,,,,,,3,3,1,7
"Federal Republic of Germany (1950-1990, ""GER"" since)",,,,,,,,8,,,,13,13,36,9,10,17,,,,,,,106
Finland,FIN,Finland-C.jpg,17,4,3,10,10,13,14,15,17,9,12,19,13,21,37,15,33,63,15,48,53,441
France,FRA,,15,3,3,1,5,1,,3,7,9,3,1,1,3,2,14,13,18,17,17,15,151
"German Democratic Republic (1955-1990,",,,,,,,,,,,,7,24,39,47,38,37,,,,,,,192
Germany,GER,Germany-SA.jpg,,6,23,8,,7,,,,,,,,,,45,46,51,72,64,66,388
Great Britain,GBR,,28,1,,19,2,1,,,3,,,1,1,3,,,4,5,7,1,1,77
Hungary,HUN,Hungary.jpg,,,3,3,3,3,3,,,,,,3,,,,,,,,,18
Italy,ITA,,,,,,1,2,11,1,14,10,11,4,4,2,9,24,39,20,24,31,5,212
Japan,JPN,,,,,,,,1,,,,3,,1,1,1,14,12,14,2,1,8,58
Kazakhstan,KAZ,,,,,,,,,,,,,,,,,,3,2,,,1,6
Latvia,LAT,Latvia.jpg,,,,,,,,,,,,,,,,,,,,1,4,5
Liechtenstein,LIE,Liechtenstein-CS.jpg,,,,,,,,,,,,2,4,2,1,,,,,,,9
Luxembourg,LUX,Luxembourg-Nl.jpg,,,,,,,,,,,,,,,,2,,,,,,2
Netherlands,NED,,,,,,,3,,2,2,9,9,6,4,,7,4,4,11,8,14,12,95
New Zealand,NZL,New Zealand-Nl.jpg,,,,,,,,,,,,,,,,1,,,,,,1
Norway,NOR,Norway-C.jpg,17,15,10,19,14,20,4,10,15,25,19,11,18,17,13,31,37,50,46,25,46,462
People's Republic of China,CHN,,,,,,,,,,,,,,,,,3,3,16,19,15,24,80
Poland,POL,Poland-D.jpg,,,,,,,1,2,,,1,,,,,,,,2,2,9,17
Republic of Korea,KOR,,,,,,,,,,,,,,,,,8,11,14,8,21,19,81
Romania,ROU,Romania.jpg,,,,,,,,,,3,,,,,,,,,,,,3
Russian Federation,,,,,,,,,,,,,,,,,,,43,61,44,49,31,228
Slovakia,SVK,Slovakia.jpg,,,,,,,,,,,,,,,,,,,,1,3,4
Slovenia,SLO,Slovenia-S.jpg,,,,,,,,,,,,,,,,,3,,5,,3,11
Spain,ESP,Spain-C.jpg,,,,,,,,,,,1,,,,,1,,,,,,2
Sweden,SWE,Sweden-CS.jpg,10,17,3,11,14,25,17,10,31,19,4,2,23,32,32,8,25,8,27,71,22,411
Switzerland,SUI,,11,13,9,13,31,8,12,2,,10,20,11,11,9,22,9,20,16,29,25,14,295
Ukraine,UKR,,,,,,,,,,,,,,,,,,2,1,,4,,7
Unified Team (ex USSR),,,,,,,,,,,,,,,,,,69,,,,,,69
United States of America,USA,,14,16,52,19,19,34,28,29,6,7,26,12,31,10,8,15,23,37,91,58,107,642
"United Team of Germany (1956,1960,1964)",,,,,,,,,2,10,11,,,,,,,,,,,,,23
USSR,,,,,,,,,40,45,50,42,51,63,62,65,77,,,,,,,495
Uzbekistan,UZB,Uzbekistan-S.jpg,,,,,,,,,,,,,,,,,1,,,,,1
Yugoslavia,YUG,,,,,,,,,,,,,,,1,7,,,,,,,8
TOTAL,,,133,98,129,123,155,151,168,159,204,223,224,237,245,249,297,367,385,499,535,597,595,5773
