country,01/25/24,02/11/28,02/04/32,02/06/36,01/30/48,02/14/52,01/26/56,02/18/60,01/29/64,02/06/68,02/03/72,02/04/76,02/13/80,02/08/84,02/13/88,02/08/92,02/12/94,02/07/98,02/08/02,02/10/06,02/12/10
Australia,,,,,,,,,,,,,,,,,5,1,2,2,3
Austria,5,8,2,6,8,8,13,6,20,17,5,8,9,1,13,32,13,21,21,33,30
Belarus,,,,,,,,,,,,,,,,,2,2,1,1,3
Belgium,6,1,,,8,,,,,,,,,,,,,1,,,
Bulgaria,,,,,,,,,,,,,1,,,,,1,3,1,
Canada,10,13,21,14,22,18,22,23,9,21,1,3,2,4,7,41,43,55,82,77,102
Croatia,,,,,,,,,,,,,,,,,,,4,3,3
Czech Republic,,,,,,,,,,,,,,,,,,25,3,29,10
Czechoslovakia,,1,,,18,,,1,18,22,21,19,1,30,7,30,,,,,
Democratic People's Republic of Korea,,,,,,,,,1,,,,,,,1,,,,,
Denmark,,,,,,,,,,,,,,,,,,6,,,
Estonia,,,,,,,,,,,,,,,,,,,3,3,1
"Federal Republic of Germany (1950-1990, ""GER"" since)",,,,,,8,,,,13,13,36,9,10,17,,,,,,
Finland,17,4,3,10,10,13,14,15,17,9,12,19,13,21,37,15,33,63,15,48,53
France,15,3,3,1,5,1,,3,7,9,3,1,1,3,2,14,13,18,17,17,15
"German Democratic Republic (1955-1990,",,,,,,,,,,7,24,39,47,38,37,,,,,,
Germany,,6,23,8,,7,,,,,,,,,,45,46,51,72,64,66
Great Britain,28,1,,19,2,1,,,3,,,1,1,3,,,4,5,7,1,1
Hungary,,,3,3,3,3,3,,,,,,3,,,,,,,,
Italy,,,,,1,2,11,1,14,10,11,4,4,2,9,24,39,20,24,31,5
Japan,,,,,,,1,,,,3,,1,1,1,14,12,14,2,1,8
Kazakhstan,,,,,,,,,,,,,,,,,3,2,,,1
Latvia,,,,,,,,,,,,,,,,,,,,1,4
Liechtenstein,,,,,,,,,,,,2,4,2,1,,,,,,
Luxembourg,,,,,,,,,,,,,,,,2,,,,,
Netherlands,,,,,,3,,2,2,9,9,6,4,,7,4,4,11,8,14,12
New Zealand,,,,,,,,,,,,,,,,1,,,,,
Norway,17,15,10,19,14,20,4,10,15,25,19,11,18,17,13,31,37,50,46,25,46
People's Republic of China,,,,,,,,,,,,,,,,3,3,16,19,15,24
Poland,,,,,,,1,2,,,1,,,,,,,,2,2,9
Republic of Korea,,,,,,,,,,,,,,,,8,11,14,8,21,19
Romania,,,,,,,,,,3,,,,,,,,,,,
Russian Federation,,,,,,,,,,,,,,,,,43,61,44,49,31
Slovakia,,,,,,,,,,,,,,,,,,,,1,3
Slovenia,,,,,,,,,,,,,,,,,3,,5,,3
Spain,,,,,,,,,,,1,,,,,1,,,,,
Sweden,10,17,3,11,14,25,17,10,31,19,4,2,23,32,32,8,25,8,27,71,22
Switzerland,11,13,9,13,31,8,12,2,,10,20,11,11,9,22,9,20,16,29,25,14
Ukraine,,,,,,,,,,,,,,,,,2,1,,4,
Unified Team (ex USSR),,,,,,,,,,,,,,,,69,,,,,
United States of America,14,16,52,19,19,34,28,29,6,7,26,12,31,10,8,15,23,37,91,58,107
"United Team of Germany (1956,1960,1964)",,,,,,,2,10,11,,,,,,,,,,,,
USSR,,,,,,,40,45,50,42,51,63,62,65,77,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,1,,,,
Yugoslavia,,,,,,,,,,,,,,1,7,,,,,,
